2024-07-23 19:31:49 {'x_pos': 0, 'y_pos': 996, 't_pos': 23444, 'x_vel': 1, 'y_vel': 230, 't_vel': 32752}
2024-07-23 19:31:49 {'yaw': 3580, 'pitch': 11, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -1}
2024-07-23 19:31:49 {'x_pos': 0, 'y_pos': 996, 't_pos': 23444, 'x_vel': 1, 'y_vel': 230, 't_vel': 32752}
2024-07-23 19:31:49 {'yaw': 3586, 'pitch': 11, 'roll': 31, 'x_acceleration': -2, 'y_acceleration': 1, 'z_acceleration': -3}
2024-07-23 19:31:49 {'x_pos': 0, 'y_pos': 996, 't_pos': 23444, 'x_vel': 1, 'y_vel': 230, 't_vel': 32752}
2024-07-23 19:31:49 {'yaw': 3588, 'pitch': 11, 'roll': 31, 'x_acceleration': 5, 'y_acceleration': -2, 'z_acceleration': -10}
2024-07-23 19:31:50 {'x_pos': 0, 'y_pos': 996, 't_pos': 23444, 'x_vel': 1, 'y_vel': 230, 't_vel': 32752}
2024-07-23 19:31:50 {'yaw': 3594, 'pitch': 11, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -12}
2024-07-23 19:31:50 {'x_pos': 0, 'y_pos': 996, 't_pos': 23444, 'x_vel': 1, 'y_vel': 230, 't_vel': 32752}
2024-07-23 19:31:50 {'yaw': 3596, 'pitch': 10, 'roll': 30, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -19}
2024-07-23 19:31:50 {'x_pos': 0, 'y_pos': 996, 't_pos': 23444, 'x_vel': 1, 'y_vel': 230, 't_vel': 32752}
2024-07-23 19:31:50 {'yaw': 3593, 'pitch': 11, 'roll': 30, 'x_acceleration': 1, 'y_acceleration': 4, 'z_acceleration': -6}
