2024-07-16 17:44:05 {'x_pos': 1, 'y_pos': 1055, 't_pos': 8992, 'x_vel': 7, 'y_vel': 265, 't_vel': 18095}
2024-07-16 17:44:05 {'yaw': 3576, 'pitch': 16, 'roll': 30, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': 2}
2024-07-16 17:44:05 {'x_pos': 1, 'y_pos': 1082, 't_pos': -817, 'x_vel': -1, 'y_vel': 267, 't_vel': 8284}
2024-07-16 17:44:05 {'yaw': 3577, 'pitch': 15, 'roll': 31, 'x_acceleration': 3, 'y_acceleration': 3, 'z_acceleration': -12}
2024-07-16 17:44:05 {'x_pos': 0, 'y_pos': 1109, 't_pos': -10716, 'x_vel': -1, 'y_vel': 267, 't_vel': -1616}
2024-07-16 17:44:05 {'yaw': 3578, 'pitch': 16, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': 2, 'z_acceleration': -12}
2024-07-16 17:44:05 {'x_pos': 0, 'y_pos': 1135, 't_pos': -20031, 'x_vel': -1, 'y_vel': 267, 't_vel': -10931}
2024-07-16 17:44:05 {'yaw': 3578, 'pitch': 15, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-16 17:44:05 {'x_pos': 0, 'y_pos': 1163, 't_pos': -29930, 'x_vel': -1, 'y_vel': 267, 't_vel': -20831}
2024-07-16 17:44:05 {'yaw': 3581, 'pitch': 15, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': 3, 'z_acceleration': 1}
2024-07-16 17:44:05 {'x_pos': 0, 'y_pos': 1189, 't_pos': 25932, 'x_vel': -1, 'y_vel': 267, 't_vel': -30506}
2024-07-16 17:44:05 {'yaw': 3581, 'pitch': 16, 'roll': 30, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -11}
2024-07-16 17:44:05 {'x_pos': -1, 'y_pos': 1217, 't_pos': 15627, 'x_vel': -4, 'y_vel': 267, 't_vel': 24725}
2024-07-16 17:44:05 {'yaw': 3583, 'pitch': 16, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -11}
2024-07-16 17:44:05 {'x_pos': -3, 'y_pos': 1245, 't_pos': 5728, 'x_vel': -4, 'y_vel': 267, 't_vel': 14825}
2024-07-16 17:44:05 {'yaw': 3583, 'pitch': 16, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -2, 'z_acceleration': -9}
2024-07-16 17:44:05 {'x_pos': -3, 'y_pos': 1273, 't_pos': -4351, 'x_vel': -4, 'y_vel': 267, 't_vel': 4745}
2024-07-16 17:44:05 {'yaw': 3584, 'pitch': 16, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-16 17:44:05 {'x_pos': -2, 'y_pos': 1300, 't_pos': -14611, 'x_vel': -4, 'y_vel': 267, 't_vel': -5515}
