2024-07-23 17:21:08 {'x_pos': 1, 'y_pos': 0, 't_pos': 1845, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:08 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:08 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:08 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-23 17:21:08 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:08 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:08 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:08 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-23 17:21:09 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:09 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:09 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:09 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:09 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:09 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:10 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:10 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:10 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:10 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:10 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:10 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:11 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:11 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:11 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:11 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:11 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:11 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-23 17:21:11 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:11 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
