2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 4, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 5, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 5, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 4, 'D6': 5, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 4}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 5, 'D7': 5}
